trip_id,start_station_name,end_station_name,start_time,end_time,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,duration_min,start_hour,day_of_week
TRIP_00031,Station_43,Station_49,8/19/2024 12:41:20,3/13/2024 12:41:20,34.355413,-95.749163,37.547784,-93.012446,-228960,12,2
TRIP_00040,Station_26,Station_17,6/3/2024 12:41:20,10/6/2024 12:41:20,37.393945,-95.99092,30.569201,-97.98434,180000,12,2
TRIP_00054,Station_23,Station_14,4/29/2024 12:41:20,6/24/2024 12:41:20,39.340774,-95.837939,39.316548,-94.374356,80640,12,2
TRIP_00064,Station_26,Station_41,4/29/2024 12:41:20,7/6/2024 12:41:20,34.515757,-92.52042,39.877385,-95.249702,97920,12,2
TRIP_00087,Station_19,Station_48,1/1/2024 12:41:20,10/2/2024 12:41:20,36.894868,-93.704659,34.214012,-92.345526,396000,12,2
TRIP_00063,Station_17,Station_16,4/8/2024 12:41:20,11/8/2023 12:41:20,30.078575,-97.387584,35.510346,-96.665863,-218880,12,2
TRIP_00050,Station_3,Station_6,1/22/2024 12:41:20,5/22/2024 12:41:20,39.596044,-96.443327,33.644864,-94.575076,174240,12,2
TRIP_00011,Station_29,Station_4,4/22/2024 12:41:20,12/17/2023 12:41:20,30.396198,-92.015638,35.138939,-94.61297,-182880,12,2
TRIP_00075,Station_46,Station_6,9/23/2024 12:41:20,10/16/2023 12:41:20,37.487071,-98.97228,34.14748,-99.542315,-493920,12,2
TRIP_00004,Station_29,Station_31,2/19/2024 12:41:20,1/22/2024 12:41:20,31.902521,-95.579162,33.309139,-99.438169,-40320,12,2
TRIP_00076,Station_27,Station_50,2/5/2024 12:41:20,9/11/2024 12:41:20,33.964228,-96.695251,36.668271,-98.968363,315360,12,2
TRIP_00029,Station_32,Station_18,4/15/2024 12:41:20,8/25/2024 12:41:20,34.218352,-95.121695,34.520569,-99.643333,190080,12,2
TRIP_00010,Station_23,Station_22,7/1/2024 12:41:20,11/11/2023 12:41:20,35.17244,-98.591513,39.888671,-95.890299,-335520,12,2
TRIP_00043,Station_9,Station_41,10/7/2024 12:41:20,10/31/2023 12:41:20,31.494456,-94.745782,34.345911,-91.954633,-492480,12,2
TRIP_00003,Station_24,Station_47,10/10/2023 12:41:20,11/13/2023 12:41:20,31.547843,-90.43619,33.197188,-97.830474,48960,12,3
TRIP_00056,Station_28,Station_25,10/10/2023 12:41:20,12/5/2023 12:41:20,32.702023,-94.13982,37.349901,-98.833143,80640,12,3
TRIP_00078,Station_23,Station_12,3/26/2024 12:41:20,3/4/2024 12:41:20,38.403611,-95.964762,31.558314,-99.812948,-31680,12,3
TRIP_00084,Station_46,Station_43,1/16/2024 12:41:20,4/19/2024 12:41:20,33.822741,-99.689302,38.87949,-95.245481,135360,12,3
TRIP_00045,Station_7,Station_16,5/28/2024 12:41:20,6/24/2024 12:41:20,39.124522,-95.076261,38.94988,-94.153332,38880,12,3
TRIP_00016,Station_13,Station_7,10/10/2023 12:41:20,12/1/2023 12:41:20,30.137677,-97.75384,31.363674,-94.090179,74880,12,3
TRIP_00026,Station_27,Station_5,12/19/2023 12:41:20,12/28/2023 12:41:20,37.646235,-96.947061,32.182528,-93.337719,12960,12,3
TRIP_00085,Station_9,Station_49,4/16/2024 12:41:20,11/27/2023 12:41:20,31.157753,-95.5498,30.515897,-95.165542,-203040,12,3
TRIP_00015,Station_42,Station_27,5/21/2024 12:41:20,1/9/2024 12:41:20,38.396331,-91.667119,33.012824,-97.494399,-191520,12,3
TRIP_00094,Station_18,Station_36,7/2/2024 12:41:20,9/7/2024 12:41:20,39.570445,-99.903029,30.204655,-93.996362,96480,12,3
TRIP_00093,Station_26,Station_15,7/30/2024 12:41:20,7/13/2024 12:41:20,38.342166,-98.346928,32.443379,-97.805426,-24480,12,3
TRIP_00100,Station_32,Station_1,9/3/2024 12:41:20,12/24/2023 12:41:20,30.377663,-92.092943,35.646773,-90.151076,-365760,12,3
TRIP_00065,Station_49,Station_27,12/26/2023 12:41:20,8/26/2024 12:41:20,36.685502,-96.274542,34.543899,-93.302114,351360,12,3
TRIP_00028,Station_35,Station_6,2/13/2024 12:41:20,10/21/2023 12:41:20,34.509049,-90.15041,33.410124,-97.776108,-165600,12,3
TRIP_00052,Station_5,Station_18,4/24/2024 12:41:20,10/20/2023 12:41:20,32.931011,-94.583006,39.637977,-99.285647,-269280,12,4
TRIP_00083,Station_25,Station_43,10/2/2024 12:41:20,5/5/2024 12:41:20,36.661398,-96.828415,31.625597,-99.430113,-216000,12,4
TRIP_00037,Station_22,Station_16,7/17/2024 12:41:20,8/14/2024 12:41:20,34.772934,-93.018621,39.301538,-93.228008,40320,12,4
TRIP_00067,Station_44,Station_8,3/13/2024 12:41:20,12/29/2023 12:41:20,36.836227,-99.245453,34.536443,-97.787788,-108000,12,4
TRIP_00099,Station_14,Station_13,6/12/2024 12:41:20,9/28/2024 12:41:20,31.806263,-91.950305,33.927246,-93.236756,155520,12,4
TRIP_00023,Station_48,Station_37,5/8/2024 12:41:20,10/13/2023 12:41:20,38.774593,-91.61355,32.303929,-99.117772,-299520,12,4
TRIP_00089,Station_32,Station_44,8/14/2024 12:41:20,5/3/2024 12:41:20,35.579482,-91.118315,38.739407,-91.137341,-148320,12,4
TRIP_00060,Station_41,Station_34,6/26/2024 12:41:20,8/21/2024 12:41:20,38.009336,-90.711948,35.840971,-98.413048,80640,12,4
TRIP_00002,Station_50,Station_46,7/3/2024 12:41:20,5/12/2024 12:41:20,33.441197,-96.576674,38.284765,-94.462971,-74880,12,4
TRIP_00077,Station_8,Station_14,5/8/2024 12:41:20,7/20/2024 12:41:20,38.626128,-96.827364,36.711409,-97.659346,105120,12,4
TRIP_00008,Station_38,Station_44,1/17/2024 12:41:20,11/28/2023 12:41:20,33.439822,-99.336255,35.311148,-96.172789,-72000,12,4
TRIP_00036,Station_47,Station_22,9/4/2024 12:41:20,10/23/2023 12:41:20,37.058146,-90.946202,30.648619,-97.645479,-456480,12,4
TRIP_00039,Station_21,Station_45,7/24/2024 12:41:20,2/12/2024 12:41:20,32.414875,-91.403848,34.194985,-91.219454,-234720,12,4
TRIP_00020,Station_40,Station_39,4/18/2024 12:41:20,1/23/2024 12:41:20,37.95616,-97.717931,37.010998,-93.597793,-123840,12,5
TRIP_00072,Station_14,Station_14,12/7/2023 12:41:20,2/18/2024 12:41:20,37.680894,-97.479923,34.39367,-97.171767,105120,12,5
TRIP_00091,Station_27,Station_20,9/12/2024 12:41:20,6/11/2024 12:41:20,34.656305,-94.202993,30.886779,-91.52522,-133920,12,5
TRIP_00070,Station_35,Station_14,2/22/2024 12:41:20,1/27/2024 12:41:20,38.907789,-94.23297,31.112661,-91.359707,-37440,12,5
TRIP_00058,Station_1,Station_44,5/30/2024 12:41:20,10/21/2023 12:41:20,30.57525,-94.69856,33.100309,-92.275268,-319680,12,5
TRIP_00066,Station_21,Station_28,5/2/2024 12:41:20,1/9/2024 12:41:20,32.110587,-90.836512,37.533662,-90.029355,-164160,12,5
TRIP_00007,Station_9,Station_47,10/26/2023 12:41:20,5/28/2024 12:41:20,30.331579,-96.830049,37.221212,-96.683447,309600,12,5
TRIP_00005,Station_47,Station_49,4/25/2024 12:41:20,7/25/2024 12:41:20,34.65233,-91.625739,35.298587,-96.385377,131040,12,5
TRIP_00024,Station_46,Station_29,1/11/2024 12:41:20,8/30/2024 12:41:20,39.926763,-99.845775,35.360595,-97.138785,334080,12,5
TRIP_00057,Station_49,Station_32,3/14/2024 12:41:20,1/25/2024 12:41:20,34.403848,-93.619209,39.24309,-93.558453,-70560,12,5
TRIP_00035,Station_17,Station_47,9/5/2024 12:41:20,11/1/2023 12:41:20,32.105773,-96.259432,39.411102,-96.0398,-444960,12,5
TRIP_00051,Station_1,Station_19,7/11/2024 12:41:20,6/1/2024 12:41:20,30.863696,-97.81396,33.48483,-91.206622,-57600,12,5
TRIP_00090,Station_35,Station_42,12/14/2023 12:41:20,6/24/2024 12:41:20,33.531514,-92.835957,31.641062,-98.572609,277920,12,5
TRIP_00071,Station_20,Station_3,7/25/2024 12:41:20,8/18/2024 12:41:20,36.156452,-93.667896,39.873453,-91.640326,34560,12,5
TRIP_00021,Station_48,Station_6,9/5/2024 12:41:20,5/28/2024 12:41:20,37.240527,-99.753209,32.172347,-93.511965,-144000,12,5
TRIP_00049,Station_5,Station_40,11/2/2023 12:41:20,5/8/2024 12:41:20,31.468168,-90.391036,32.17617,-91.241082,270720,12,5
TRIP_00038,Station_30,Station_1,9/20/2024 12:41:20,7/17/2024 12:41:20,30.957834,-96.867631,33.350618,-94.247924,-93600,12,6
TRIP_00062,Station_38,Station_4,6/21/2024 12:41:20,2/28/2024 12:41:20,30.304273,-97.168543,32.956451,-91.671056,-164160,12,6
TRIP_00014,Station_32,Station_31,2/9/2024 12:41:20,12/8/2023 12:41:20,32.282183,-99.727748,32.152296,-95.49552,-90720,12,6
TRIP_00030,Station_16,Station_39,8/9/2024 12:41:20,4/12/2024 12:41:20,38.857243,-90.747975,31.052781,-94.067787,-171360,12,6
TRIP_00006,Station_50,Station_32,8/30/2024 12:41:20,10/10/2023 12:41:20,39.12675,-96.960753,36.643203,-91.814995,-468000,12,6
TRIP_00092,Station_25,Station_11,8/30/2024 12:41:20,5/27/2024 12:41:20,31.256948,-91.40079,30.953385,-90.64317,-136800,12,6
TRIP_00097,Station_33,Station_12,3/1/2024 12:41:20,9/6/2024 12:41:20,31.105474,-99.690078,37.697754,-97.117234,272160,12,6
TRIP_00073,Station_37,Station_6,4/19/2024 12:41:20,7/26/2024 12:41:20,37.136053,-95.832388,31.317458,-92.763715,141120,12,6
TRIP_00095,Station_16,Station_6,2/2/2024 12:41:20,7/19/2024 12:41:20,33.898816,-93.674572,32.31359,-91.327911,241920,12,6
TRIP_00086,Station_27,Station_26,9/6/2024 12:41:20,10/24/2023 12:41:20,31.019575,-98.022607,30.331991,-94.553039,-457920,12,6
TRIP_00096,Station_40,Station_31,12/8/2023 12:41:20,12/23/2023 12:41:20,38.154149,-95.753146,32.635838,-96.494205,21600,12,6
TRIP_00061,Station_18,Station_26,4/12/2024 12:41:20,10/17/2023 12:41:20,31.796913,-93.693253,38.106492,-96.306915,-256320,12,6
TRIP_00079,Station_45,Station_28,3/22/2024 12:41:20,9/13/2024 12:41:20,37.1111,-99.995367,37.825076,-98.715368,252000,12,6
TRIP_00012,Station_45,Station_50,5/10/2024 12:41:20,12/15/2023 12:41:20,33.293199,-92.306273,30.210211,-92.897298,-211680,12,6
TRIP_00033,Station_7,Station_20,6/14/2024 12:41:20,4/5/2024 12:41:20,35.488625,-91.696944,35.340366,-92.009027,-100800,12,6
TRIP_00009,Station_15,Station_31,8/30/2024 12:41:20,4/15/2024 12:41:20,30.174372,-93.388855,31.675539,-97.270235,-197280,12,6
TRIP_00088,Station_19,Station_34,1/12/2024 12:41:20,7/24/2024 12:41:20,32.469383,-93.171276,31.428573,-93.811444,279360,12,6
TRIP_00098,Station_39,Station_31,8/23/2024 12:41:20,1/17/2024 12:41:20,33.760866,-96.729506,30.008549,-92.218472,-315360,12,6
TRIP_00027,Station_11,Station_6,3/9/2024 12:41:20,3/21/2024 12:41:20,30.445776,-95.428071,36.313574,-93.024486,17280,12,7
TRIP_00018,Station_37,Station_35,12/2/2023 12:41:20,7/20/2024 12:41:20,37.239394,-99.063246,33.635798,-97.10175,332640,12,7
TRIP_00080,Station_9,Station_35,12/2/2023 12:41:20,10/24/2023 12:41:20,35.186604,-96.625927,33.245239,-90.437981,-56160,12,7
TRIP_00082,Station_39,Station_30,6/1/2024 12:41:20,5/5/2024 12:41:20,35.681891,-93.710495,35.793323,-96.798296,-38880,12,7
TRIP_00034,Station_37,Station_37,6/22/2024 12:41:20,12/24/2023 12:41:20,31.351763,-96.156937,38.84336,-95.245598,-260640,12,7
TRIP_00081,Station_28,Station_46,10/14/2023 12:41:20,3/28/2024 12:41:20,31.739087,-99.441838,37.359041,-90.115765,239040,12,7
TRIP_00074,Station_42,Station_18,12/2/2023 12:41:20,10/20/2023 12:41:20,33.133766,-94.776074,31.15186,-93.659052,-61920,12,7
TRIP_00044,Station_43,Station_40,6/15/2024 12:41:20,8/22/2024 12:41:20,30.01551,-90.356689,39.271839,-96.419513,97920,12,7
TRIP_00041,Station_6,Station_12,3/23/2024 12:41:20,6/18/2024 12:41:20,34.312497,-93.247927,36.662545,-92.320202,125280,12,7
TRIP_00068,Station_5,Station_21,3/16/2024 12:41:20,9/14/2024 12:41:20,38.950073,-96.373201,39.625906,-97.773925,262080,12,7
TRIP_00055,Station_8,Station_24,9/28/2024 12:41:20,11/20/2023 12:41:20,39.913173,-94.020374,34.530922,-97.597989,-450720,12,7
